composer,catalog,title,era,difficulty_estimate
"Felix Mendelssohn","Op. 30 No. 6","Songs Without Words — Venetian Boat Song No. 2","Romantic","5-7"
"Felix Mendelssohn","Op. 62 No. 6","Songs Without Words — Spring Song","Romantic","5-7"
"Felix Mendelssohn","Op. 38 No. 6","Songs Without Words — Duetto","Romantic","5-7"
"Felix Mendelssohn","Op. 67 No. 4","Songs Without Words — Spinning Song","Romantic","6-8"
"Felix Mendelssohn","Op. 14","Rondo Capriccioso in E Major","Romantic","8-10"
"Domenico Scarlatti","K. 1","Sonata in D Minor","Baroque","4-6"
"Domenico Scarlatti","K. 9","Sonata in D Minor (Pastorale)","Baroque","5-7"
"Domenico Scarlatti","K. 27","Sonata in B Minor","Baroque","6-8"
"Domenico Scarlatti","K. 87","Sonata in B Minor","Baroque","6-8"
"Domenico Scarlatti","K. 141","Sonata in D Minor (Toccata)","Baroque","7-9"
"Domenico Scarlatti","K. 380","Sonata in E Major (Cortège)","Baroque","6-8"
"Domenico Scarlatti","K. 531","Sonata in E Major","Baroque","6-8"
"Edvard Grieg","Op. 12 No. 1","Lyric Pieces — Arietta","Romantic","3-5"
"Edvard Grieg","Op. 12 No. 4","Lyric Pieces — Elves' Dance","Romantic","5-7"
"Edvard Grieg","Op. 43 No. 6","Lyric Pieces — To Spring","Romantic","5-7"
"Edvard Grieg","Op. 54 No. 4","Lyric Pieces — Notturno","Romantic","5-7"
"Edvard Grieg","Op. 54 No. 3","Lyric Pieces — March of the Trolls","Romantic","7-9"
"Edvard Grieg","Op. 65 No. 6","Lyric Pieces — Wedding Day at Troldhaugen","Romantic","7-9"
"Edvard Grieg","Op. 16","Piano Concerto in A Minor — Opening Theme","Romantic","7-9"
"Edvard Grieg","Op. 46 No. 1","Peer Gynt Suite — Morning Mood","Romantic","4-6"
"Edvard Grieg","Op. 46 No. 4","Peer Gynt Suite — In the Hall of the Mountain King","Romantic","5-7"
"Joseph Haydn","Hob. XVI/34","Piano Sonata in E Minor","Classical","5-7"
"Joseph Haydn","Hob. XVI/37","Piano Sonata in D Major","Classical","5-7"
"Joseph Haydn","Hob. XVI/49","Piano Sonata in E-flat Major","Classical","7-9"
"Joseph Haydn","Hob. XVI/52","Piano Sonata in E-flat Major","Classical","8-9"
"Joseph Haydn","Hob. XVI/27","Piano Sonata in G Major","Classical","4-6"
"Joseph Haydn","Hob. XVI/35","Piano Sonata in C Major","Classical","5-7"
"Antonio Vivaldi","RV 269","The Four Seasons — Spring (piano arrangement)","Baroque","5-7"
"Antonio Vivaldi","RV 315","The Four Seasons — Summer (piano arrangement)","Baroque","5-7"
"Antonio Vivaldi","RV 293","The Four Seasons — Autumn (piano arrangement)","Baroque","5-7"
"Antonio Vivaldi","RV 297","The Four Seasons — Winter (piano arrangement)","Baroque","5-7"
"Johann Pachelbel","P. 37","Canon in D Major (piano arrangement)","Baroque","3-5"
"Tomaso Albinoni","","Adagio in G Minor (piano arrangement)","Baroque","4-6"
"Antonín Dvořák","Op. 101 No. 7","Humoresque in G-flat Major","Romantic","5-7"
"Antonín Dvořák","Op. 95","Symphony No. 9 — Largo (New World) (piano arrangement)","Romantic","5-7"
"Antonín Dvořák","Op. 72 No. 2","Slavonic Dance in E Minor","Romantic","6-8"
"Antonín Dvořák","Op. 46 No. 8","Slavonic Dance in G Minor","Romantic","6-8"
"Gabriel Fauré","Op. 50","Pavane","Romantic","5-7"
"Gabriel Fauré","Op. 17 No. 3","Romances sans paroles","Romantic","5-7"
"Gabriel Fauré","Op. 48","Requiem — Pie Jesu","Romantic","4-6"
"Enrique Granados","Op. 37 No. 5","Danzas Españolas — Andaluza","Romantic","7-9"
"Isaac Albéniz","Op. 47 No. 5","Suite Española — Asturias (Leyenda)","Romantic","8-10"
"Isaac Albéniz","Op. 232 No. 1","Cantos de España — Córdoba","Romantic","7-9"
"Isaac Albéniz","Op. 47 No. 3","Suite Española — Sevilla","Romantic","7-9"
"Isaac Albéniz","Op. 47 No. 2","Suite Española — Cataluña","Romantic","7-8"
"Scott Joplin","","Maple Leaf Rag","Modern","6-8"
"Scott Joplin","","The Entertainer","Modern","5-7"
"Scott Joplin","","Solace — A Mexican Serenade","Modern","5-7"
"Scott Joplin","","The Easy Winners","Modern","5-7"
"Edward Elgar","Op. 39 No. 1","Salut d'Amour","Romantic","4-6"
"Edward Elgar","Op. 36","Enigma Variations — Nimrod (piano arrangement)","Romantic","5-7"
"Béla Bartók","Sz. 42","For Children — selection","Modern","2-4"
"Muzio Clementi","Op. 36 No. 1","Sonatina in C Major — Allegro","Classical","2-4"
"Muzio Clementi","Op. 36 No. 2","Sonatina in G Major","Classical","3-5"
"Muzio Clementi","Op. 36 No. 3","Sonatina in C Major","Classical","3-5"
"Muzio Clementi","Op. 36 No. 4","Sonatina in F Major","Classical","4-6"
"Muzio Clementi","Op. 36 No. 5","Sonatina in G Major","Classical","4-6"
"Muzio Clementi","Op. 36 No. 6","Sonatina in D Major","Classical","5-7"
"Carl Czerny","Op. 299 No. 1","School of Velocity — Study in C Major","Classical/Romantic","5-7"
"Carl Czerny","Op. 599 No. 1","Practical Method for Beginners — Study in C Major","Classical/Romantic","1-3"
"Carl Czerny","Op. 740 No. 1","Art of Finger Dexterity — Study in C Major","Classical/Romantic","7-9"
"Carl Czerny","Op. 849 No. 1","Thirty New Studies — Study in C Major","Classical/Romantic","4-6"
"Friedrich Kuhlau","Op. 20 No. 1","Sonatina in C Major","Classical","3-5"
"Friedrich Kuhlau","Op. 55 No. 1","Sonatina in C Major","Classical","4-6"
"Friedrich Kuhlau","Op. 55 No. 3","Sonatina in C Major","Classical","4-6"
"Friedrich Burgmüller","Op. 100 No. 1","La Candeur (Candor)","Romantic","2-4"
"Friedrich Burgmüller","Op. 100 No. 2","L'Arabesque","Romantic","2-4"
"Friedrich Burgmüller","Op. 100 No. 7","Le Courant Limpide (The Limpid Stream)","Romantic","3-5"
"Friedrich Burgmüller","Op. 100 No. 15","Ballade","Romantic","3-5"
"Friedrich Burgmüller","Op. 100 No. 20","La Tarentelle","Romantic","4-6"
"Friedrich Burgmüller","Op. 100 No. 25","La Chevaleresque","Romantic","4-6"
"Stephen Heller","Op. 45 No. 1","Étude in C Major","Romantic","3-5"
"Stephen Heller","Op. 47 No. 3","Étude in E Minor (The Avalanche)","Romantic","4-6"
"Carl Philipp Emanuel Bach","Wq. 59 No. 1","Sonata in E Major","Baroque","5-7"
"Carl Philipp Emanuel Bach","Wq. 55 No. 4","Sonata in A Major","Baroque","5-7"
"Carl Philipp Emanuel Bach","Wq. 117 No. 1","Solfeggietto in C Minor","Baroque","4-6"
"Johann Christian Bach","Op. 5 No. 2","Keyboard Sonata in D Major","Classical","4-6"
"Johann Christian Bach","Op. 17 No. 2","Keyboard Sonata in C Minor","Classical","4-6"
"Giovanni Battista Pergolesi","","Stabat Mater — opening (piano arrangement)","Baroque","4-6"
"Luigi Boccherini","Op. 11 No. 5","Minuet in A Major (piano arrangement)","Classical","2-4"
"Christoph Willibald Gluck","","Orfeo ed Euridice — Dance of the Blessed Spirits","Classical","4-6"
"Christoph Willibald Gluck","","Orfeo ed Euridice — Melody","Classical","3-5"
"Camille Saint-Saëns","Op. 168","The Carnival of the Animals — The Swan","Romantic","4-6"
"Camille Saint-Saëns","Op. 22","Piano Concerto No. 2 — Andante","Romantic","7-9"
"Jules Massenet","","Méditation from Thaïs (piano arrangement)","Romantic","5-7"
"Léo Delibes","","Flower Duet from Lakmé (piano arrangement)","Romantic","5-7"
"Jacques Offenbach","","Orpheus in the Underworld — Can-Can (piano arrangement)","Romantic","4-6"
"Georges Bizet","WD 31","Carmen — Habanera (piano arrangement)","Romantic","5-7"
"Georges Bizet","WD 31","Carmen — Toreador Song (piano arrangement)","Romantic","5-7"
"Giacomo Puccini","","Madama Butterfly — Un bel dì (piano arrangement)","Romantic","5-7"
"Giacomo Puccini","","Tosca — Vissi d'arte (piano arrangement)","Romantic","5-7"
"Giuseppe Verdi","","La donna è mobile (piano arrangement)","Romantic","3-5"
"Giuseppe Verdi","","Nabucco — Chorus of the Hebrew Slaves (piano arrangement)","Romantic","4-6"
"Gioachino Rossini","","William Tell Overture — Finale (piano arrangement)","Classical/Romantic","5-7"
"Alexander Borodin","","Prince Igor — Polovtsian Dances (piano arrangement)","Romantic","5-7"
"Modest Mussorgsky","","Pictures at an Exhibition — Promenade","Romantic","7-9"
"Modest Mussorgsky","","Pictures at an Exhibition — The Old Castle","Romantic","6-8"
"Modest Mussorgsky","","Pictures at an Exhibition — The Great Gate of Kiev","Romantic","9-10"
"Edward MacDowell","Op. 51 No. 1","Woodland Sketches — To a Wild Rose","Romantic","3-5"
"John Field","H. 24","Nocturne No. 1 in E-flat Major","Romantic","5-7"
"John Field","H. 37","Nocturne No. 5 in B-flat Major","Romantic","5-7"
"Jan Ladislav Dussek","Op. 20 No. 1","Sonatina in G Major","Classical","3-5"
"Anton Diabelli","Op. 151 No. 1","Sonatina in G Major","Classical","3-5"
"Carl Maria von Weber","Op. 65","Invitation to the Dance","Romantic","7-9"
"Johann Nepomuk Hummel","Op. 85","Piano Sonata in F-sharp Minor — Adagio","Classical/Romantic","7-9"
"Dieterich Buxtehude","BuxWV 137","Prelude and Fugue in C Major (organ/piano)","Baroque","6-8"
"François Couperin","","Les Barricades Mystérieuses","Baroque","4-6"
"François Couperin","","Le Tic-Toc-Choc","Baroque","5-7"
"Jean-Philippe Rameau","","Gavotte and Variations","Baroque","4-6"
"Jean-Philippe Rameau","","Les Sauvages","Baroque","5-7"
"Georg Philipp Telemann","TWV 32:12","Fantasia in D Minor","Baroque","3-5"
"Louis-Claude Daquin","","Le Coucou (The Cuckoo)","Baroque","3-5"
"Jean-Baptiste Lully","","Gavotte en Rondeau","Baroque","2-4"
"Cécile Chaminade","Op. 107","Automne","Romantic","5-7"
"Cécile Chaminade","Op. 35 No. 1","Scarf Dance","Romantic","4-6"
"Amy Beach","Op. 36 No. 1","Scottish Legend","Romantic","5-7"
"Xaver Scharwenka","Op. 50 No. 2","Polish Dance","Romantic","5-7"
"Moritz Moszkowski","Op. 72 No. 2","Étude in G Minor","Romantic","7-9"
"Moritz Moszkowski","Op. 72 No. 6","Étude in F Major","Romantic","7-9"
"Anton Rubinstein","Op. 3 No. 1","Melody in F Major","Romantic","3-5"
"Alexander Scriabin","Op. 2 No. 1","Étude in C-sharp Minor","Romantic","7-9"
"Alexander Scriabin","Op. 8 No. 12","Étude in D-sharp Minor (Patetico)","Romantic","9-10"
"Alexander Scriabin","Op. 11 No. 1","Prelude in C Major","Romantic","6-8"
"Anatoly Lyadov","Op. 40","A Musical Snuffbox","Romantic","5-7"
"Sergei Taneyev","Op. 29 No. 1","Prelude in F Major","Romantic","5-7"
"Henry Purcell","Z. 630","Dido's Lament (When I Am Laid in Earth)","Baroque","3-5"
"Henry Purcell","Z. 660","Trumpet Tune in D Major","Baroque","3-5"
"Henry Purcell","Z. 628","Rondeau from Abdelazer","Baroque","3-5"
"Johann Sebastian Bach","BWV Anh. 114","Minuet in G Major (Anna Magdalena Notebook)","Baroque","1-3"
"Johann Sebastian Bach","BWV Anh. 115","Minuet in G Minor (Anna Magdalena Notebook)","Baroque","1-3"
"Johann Sebastian Bach","BWV Anh. 116","Minuet in G Major (Anna Magdalena Notebook)","Baroque","1-3"
"Johann Sebastian Bach","BWV Anh. 126","Musette in D Major (Anna Magdalena Notebook)","Baroque","1-3"
"Johann Sebastian Bach","BWV Anh. 122","March in D Major (Anna Magdalena Notebook)","Baroque","1-3"
"Johann Sebastian Bach","BWV Anh. 132","Minuet in D Minor (Anna Magdalena Notebook)","Baroque","2-4"
"Johann Sebastian Bach","BWV 773","Two-Part Invention No. 2 in C Minor","Baroque","3-5"
"Johann Sebastian Bach","BWV 774","Two-Part Invention No. 3 in D Major","Baroque","3-5"
"Johann Sebastian Bach","BWV 777","Two-Part Invention No. 6 in E Major","Baroque","4-5"
"Johann Sebastian Bach","BWV 780","Two-Part Invention No. 9 in F Minor","Baroque","4-6"
"Johann Sebastian Bach","BWV 781","Two-Part Invention No. 10 in G Major","Baroque","4-5"
"Johann Sebastian Bach","BWV 786","Sinfonia No. 1 in C Major","Baroque","4-6"
"Johann Sebastian Bach","BWV 789","Sinfonia No. 4 in D Minor","Baroque","5-7"
"Johann Sebastian Bach","BWV 795","Sinfonia No. 10 in G Major","Baroque","5-7"
"Francisco Tárrega","","Recuerdos de la Alhambra","Romantic","7-9"
"Francisco Tárrega","","Lágrima","Romantic","3-5"
"Francisco Tárrega","","Adelita","Romantic","3-5"
"Francisco Tárrega","","Capricho Árabe","Romantic","7-9"
"Fernando Sor","Op. 35 No. 22","Study in B Minor","Classical/Romantic","4-6"
"Fernando Sor","Op. 6 No. 8","Study in C Major","Classical/Romantic","3-5"
"Fernando Sor","Op. 31 No. 1","Study in C Major","Classical/Romantic","4-6"
"Mauro Giuliani","Op. 50 No. 1","Le Papillon","Classical/Romantic","5-7"
"Mauro Giuliani","Op. 48 No. 5","Study in E Minor","Classical/Romantic","3-5"
"Matteo Carcassi","Op. 60 No. 3","Study in A Major","Classical/Romantic","3-5"
"Matteo Carcassi","Op. 60 No. 7","Study in A Minor","Classical/Romantic","3-5"
"Dionisio Aguado","Op. 6 No. 1","Study in A Minor","Classical/Romantic","3-5"
"Frédéric Chopin","Op. 24 No. 2","Mazurka in C Major","Romantic","5-7"
"Frédéric Chopin","Op. 30 No. 2","Mazurka in B Minor","Romantic","5-7"
"Frédéric Chopin","Op. 56 No. 2","Mazurka in C Major","Romantic","6-8"
"Frédéric Chopin","Op. 59 No. 1","Mazurka in A Minor","Romantic","6-8"
"Frédéric Chopin","Op. 28 No. 1","Prelude in C Major","Romantic","6-8"
"Frédéric Chopin","Op. 28 No. 3","Prelude in G Major","Romantic","7-9"
"Frédéric Chopin","Op. 28 No. 8","Prelude in F-sharp Minor","Romantic","6-8"
"Frédéric Chopin","Op. 28 No. 11","Prelude in B Major","Romantic","5-7"
"Frédéric Chopin","Op. 28 No. 17","Prelude in A-flat Major","Romantic","6-8"
"Ludwig van Beethoven","WoO 70","Six Variations on 'Nel cor più non mi sento'","Classical/Romantic","6-8"
"Ludwig van Beethoven","Op. 129","Rondo a Capriccio (Rage Over a Lost Penny)","Classical/Romantic","8-9"
"Ludwig van Beethoven","WoO 83","Six Écossaises","Classical/Romantic","3-5"
"Wolfgang Amadeus Mozart","K. 573","Variations on a Theme by Duport","Classical","6-8"
"Girolamo Frescobaldi","F 3.35","Toccata in D Minor","Baroque","6-8"
"William Byrd","BK 3","The Earl of Salisbury's Pavane","Renaissance","3-5"
"William Byrd","BK 94","Pavana Lachrymae","Renaissance","4-6"
"Orlando Gibbons","","The Lord of Salisbury's Pavane","Renaissance","4-6"
"John Dowland","","Flow My Tears (Lachrimae)","Renaissance","2-4"
"John Dowland","","Can She Excuse My Wrongs","Renaissance","2-4"
"John Bull","","The King's Hunting Jig","Renaissance","6-8"
"Thomas Tomkins","","A Sad Pavan for These Distracted Times","Renaissance","4-6"
"Jan Pieterszoon Sweelinck","SwWV 256","Echo Fantasia in C Major","Renaissance","6-8"
"Johann Jakob Froberger","FbWV 101","Tombeau sur la mort de M. Blancrocher","Baroque","5-7"
"Johannes Brahms","Op. 116 No. 2","Intermezzo in A Minor","Romantic","6-8"
"Johannes Brahms","Op. 116 No. 6","Intermezzo in E Major","Romantic","7-9"
"Johannes Brahms","Op. 117 No. 2","Intermezzo in B-flat Minor","Romantic","6-8"
"Johannes Brahms","Op. 119 No. 2","Intermezzo in E Minor","Romantic","7-9"
"Franz Liszt","S. 172 No. 1","Consolation No. 1 in E Major","Romantic","6-7"
"Franz Liszt","S. 172 No. 2","Consolation No. 2 in E Major","Romantic","6-7"
"Franz Liszt","S. 541 No. 2","Liebestraum No. 2","Romantic","8-9"
"Franz Schubert","D. 365","Thirty-six Original Dances (Waltzes)","Romantic","3-5"
"Franz Schubert","D. 733","Valses sentimentales","Romantic","4-6"
"Franz Schubert","D. 145","Twelve Waltzes","Romantic","2-4"
"Edvard Grieg","Op. 38 No. 1","Lyric Pieces — Berceuse","Romantic","3-5"
"Edvard Grieg","Op. 47 No. 3","Lyric Pieces — Melody","Romantic","3-5"
"Claude Debussy","L. 121","La plus que lente","Impressionist","7-9"
"Franz Schubert","D. 328","Erlkönig (piano arrangement)","Romantic","8-10"
"Franz Schubert","D. 839","Ave Maria (piano arrangement)","Romantic","3-5"
"Franz Schubert","D. 550","Die Forelle (piano arrangement)","Romantic","4-6"
"Franz Schubert","D. 795 No. 4","Serenade (Ständchen)","Romantic","4-6"
"Johann Strauss II","Op. 314","The Blue Danube (piano arrangement)","Romantic","5-7"
"Johann Strauss II","Op. 325","Tales from the Vienna Woods (piano arrangement)","Romantic","5-7"
"Franz von Suppé","","Light Cavalry Overture (piano arrangement)","Romantic","5-7"
"Émile Waldteufel","Op. 183","The Skaters' Waltz (piano arrangement)","Romantic","5-7"
"Ruggero Leoncavallo","","Pagliacci — Vesti la giubba (piano arrangement)","Romantic","5-7"
"Pietro Mascagni","","Cavalleria Rusticana — Intermezzo (piano arrangement)","Romantic","4-6"
"César Franck","Op. 18","Prélude, Fugue et Variation","Romantic","8-10"
"Jeremiah Clarke","","Trumpet Voluntary (Prince of Denmark's March)","Baroque","3-5"
